word,sense_no,sense_def,example
cell,1,bio,"Given that the C-type lectin receptor, dendritic cell-specific ICAM-grabbing non-integrin-related (DC-SIGNR, also known as CD209L or liver/lymph node-specific ICAM-grabbing non-integrin (L-SIGN)), can interact with pathogens including HIV-1 and is expressed at the maternal-fetal interface, we hypothesized that it could influence MTCT of HIV-1."
cell,1,bio,"High maternal viral load, low CD4 cells count, vaginal delivery, low gestational age have all been identified as independent factors associated with MTCT of HIV-1 [1] ."
cell,1,bio,"\n\nDendritic cell-specific ICAM-grabbing non-integrin-related (DC-SIGNR, also known as CD209L or liver/lymph node-specific ICAM-grabbing non-integrin (L-SIGN)) can interact with a plethora of pathogens including HIV-1 and is expressed in placental capillary endothelial cells [2] ."
cell,1,bio,It has been proposed that interaction between DC-SIGNR and HIV-1 might enhance viral transfer to other susceptible cell types [2] but DC-SIGNR can also internalize and mediate proteasome-dependant degradation of viruses [4] that may differently affect the outcome of infection.
cell,1,bio,We cultured HeLa cells in 6 wells plates (2610 5 cells) and transfected them the following day using lipofectamine (Invitrogen) according to the manufacturer.
cell,1,bio,"Maternal age and CD4 cell count, child sex, mode of delivery, duration of membrane rupture and gestational age were similar among all groups."
cell,1,bio,Chan and colleagues recently demonstrated that DC-SIGNR transfected CHO cells diminish SARS-CoV titers by enhanced capture and degradation of the virus in a proteasome-dependent manner [4] .
cell,1,bio,"Since endothelial cells express MHC-I and II, degraded viral antigens could then be presented to immune cells to elicit an adaptive immune response [16, 17] ."
cell,1,bio,"The HIV-1 coreceptor CCR5, but not CD4, is co-expressed with DC-SIGNR on placental and blood-brain barrier (BBB) endothelial cells [18, 19] ."
cell,1,bio,"HIV-1 gp120 binding to CCR5 receptor on endothelial cells compromises BBB integrity and enhances monocytes adhesion and transmigration across the BBB [20, 21] ."
cell,2,room,Dibdin glanced back at the other men in the cell before continuing.
cell,2,room,"He felt like a prisoner, kept in a small cell that was hurtling through the sky at what he thought to be 160 miles an hour, headed— he didn’t know where—just headed somewhere until..."
cell,2,room,From then on I kept looking out my cell window and from time to time it seemed I could see into my past and amuse myself with stories about my family and old friends.
cell,2,room,He lifted Robin and carried him to his own cell and put him on the narrow cot.
cell,2,room,"The doghouse was a small, sealed cell like a dark, frozen, airless tomb."
cell,2,room,"Shin’s cell was a concrete square, barely large enough for him to lie down."
cell,2,room,She circled the cell two or three times before sinking down onto the bench.
cell,2,room,"These cells, with bars front and rear, had dense screens installed from ceiling to knee level to keep the occupants from throwing things out."
cell,2,room,"We’ve heard that if a political complains, the guards in charge of that cell will be in very hot water indeed—maybe even shot!"
cell,2,room,"The men in the first cell were mostly sleeping, or dying, or dead."
cell,3,phone,"As he transformed his bed back into a couch, his mom’s cell chimed."
cell,3,phone,"I walk eight more sidewalk lines, noticing city sounds more than before: the beeping of a backing-up truck, the one-sided cell phone conversations, the rattling of tires over potholes."
cell,3,phone,"“I didn’t have a cell phone, I’d never texted. He might as well have been talking about nuclear physics.”"
cell,3,phone,The fact is that you could be anywhere on a cell phone and it shouldn’t be important where you are.
cell,3,phone,"And he ducked back out of the frame.“Our security guards will continue holding your cell phones,” said Dr. Zinchenko."
cell,3,phone,"Not only is it the big kind that isn’t a cell phone, but it’s got a loopy spiral cord that’s connected to the wall."
cell,3,phone,I peek out and try to match these buildings up with the one I remember seeing on my mom's cell phone.
cell,3,phone,"But plenty of science was already on hold while researchers, universities, and biotech companies sued one another over ownership of various cell lines."
cell,3,phone,"Mom paces as she talks, flails her arms for emphasis as if Dad can see her, clenching her cell phone like it’s a kitchen sponge after a messy spaghetti dinner."
cell,3,phone,“Just like you did when Dr. Cable used to bring you by my cell?”
expression,1,bio,CONCLUSION: These results suggest that DC-SIGNR plays a crucial role in MTCT of HIV-1 and that impaired placental DC-SIGNR expression increases risk of transmission.
expression,1,bio,We further characterized the functional impact of these genetic variants on DC-SIGNR expression and show that they affect both the level and type of DC-SIGNR transcripts produced in the placenta.
expression,1,bio,Tissues from 3 H1 (associated with MTCT of HIV-1) and 3 H15 (wild-type) homozygous haplotypes were used to analyse possible differences in isoform expression.
expression,1,bio,"\n\nQuantitative expression of DC-SIGNR isoforms 1,5 mg of placental RNA was reverse transcribed using 2."
expression,1,bio,"To correct for differences in both RNA quality and quantity between samples, the expression levels of transcripts were normalised to the reference GAPDH gene transcripts."
expression,1,bio,We therefore hypothesized that the DC-SIGNR mutations associated with MTCT of HIV-1 would have an impact on both the level of DC-SIGNR expression and in the isoform repertoire produced.
expression,1,bio,We investigated DC-SIGNR transcript expression in first-term placentas obtained after elective abortion.
expression,1,bio,The deletion of exon 3 eliminates the trans-membrane domain of the protein and leads to the expression of soluble DC-SIGNR isoforms [3] .
expression,1,bio,We confirmed that the variation in transcript proportions seen between the two groups was also reflected at the level of mRNA expression in the placenta.
expression,1,bio,"To determine the net impact of the DC-SIGNR p-198A mutation on DC-SIGNR expression in the placenta, we quantitated the absolute number of total and membrane-bound DC-SIGNR transcripts in the H1 homozygote and wild-type placental samples as described earlier."
expression,2,Non-verbal,"He grinned like a fool, then cleared his throat, and his stern expression fell back into place."
expression,2,Non-verbal,"“Speaking of the weather...” he begins, and laughs at Olive’s expression."
expression,2,Non-verbal,"Abruptly, the man changed his attitude and expression, took his hands from his pockets and smiled a smile that Bigger did not believe."
expression,2,Non-verbal,"I feared what Mr. Norton would say to me, the expression that might come into his eyes."
expression,2,Non-verbal,“Why not? His music seems ...” Bast’s expression was grim.
expression,2,Non-verbal,"Naheed was scanning the room for Eliza, but she began to notice the teachers standing around the outside of the circle of students, their expressions solemn."
expression,2,Non-verbal,"There was something sleek and new about him, about the fine cut of his suit, but his supercilious expression was the same, as was his hoarse voice."
expression,2,Non-verbal,Buddy asked with a satisfied expression as we walked across the green quadrangle to his room.
expression,2,Non-verbal,That expression meant that things were at least kind of okay.
