word,sense_no,sense_def,example
Party,1,group,"Distributor shall ensure that no Third Party Distributor bundles anything in or with Bundles without Google's prior written approval, and if Google grants its approval, Distributor shall provide Google with information about any such bundling arrangements at Google's request."
Party,1,group,"Distributor may distribute Bundles to third parties solely for redistribution of such Bundles by those third parties directly to End Users (such third parties, Third Party Distributors ); provided that: (a) in connection with any and all such offers or distributions, Distributor shall, and shall ensure that each Third Party Distributor shall, distribute Bundles in a manner that is no less protective of the Products and Google than the terms of this Agreement, and (b) Google in its sole discretion may direct Distributor to cease distributing Bundles to any Third Party Distributor that in Google's sole discretion would either: (i) harm or devalue Google's business, brand or name, or (ii) violate Google's privacy policy, and Distributor shall cause any such Third Party Distributor to cease distribution of Bundles as soon as practicable but in no event longer than [ * ] following receipt of such request from Google."
Party,1,group,Upon expiration or termination of this Agreement: (a) all rights and licenses granted under this Agreement shall immediately cease; (b) Distributor shall (and shall ensure that any Third Party Distributors shall) immediately stop reproducing the Products and offering or distributing Bundles; (c) Distributor shall return or destroy (and a duly appointed officer of Distributor shall certify to such destruction) all copies of the Products and any other Google Confidential Information in its possession; and (d) the fees payable to Distributor shall immediately cease accruing and Google shall within [ * ] following such expiration or termination pay to Distributor any undisputed amounts which have accrued from the time of the most recent payment to Distributor through the date of termination or expiration of this Agreement.
Party,1,group,Confidential information shall not include information which: (A) Is or becomes generally available to the party who desires to disclose such information (or its associated or affiliated companies) (a Disclosing Party ) other than as a result of a breach of this Agreement or some other unlawful means; (B) Becomes available to the Disclosing Party on a non-confidential basis from a third party who is under no confidentiality or nondisclosure obligation with respect to such information; or (C) Was known to the Disclosing Party on a non-confidential basis prior to the disclosure thereof to such disclosing Party by a party to this Agreement.
Party,1,group,"2 (Third Party Distribution)), the Distribution Products to the extent necessary to exercise the rights granted in (a), (b) and (c)."
Party,1,group,9 No Third-Party Beneficiaries.
Party,1,group,"Distributor shall comply, and shall ensure that each Third Party Distributor complies, with the Guidelines for Applications set out in Exhibit C."
Party,1,group,2 (Third Party Distribution)) to End Users in the Territory; (c) when indicated by the applicable Criteria Checker and requested by the End User in accordance with clause 3.
Party,1,group,"2 (Form of Distribution Offering), install the Chrome Browser or the Google Toolbar (as applicable) on the End User's system using the Google Installers; and (d) reproduce (or have reproduced by Third Party Distributors as defined in Clause 2."
Party,1,group,2 Third Party Distribution.
