,word,sense1,sense2,score
0,Server,host,host,0.63
1,Server,host,waiter,0.32
2,Server,waiter,waiter,0.4
3,Application,program,program,0.52
4,Application,program,request,0.16
5,Application,program,use,0.16
6,Application,request,request,0.55
7,Application,request,use,0.45
8,Application,use,use,0.46
9,following,reference,reference,0.6
10,following,reference,pursue,0.22
11,following,pursue,pursue,0.45
12,Java,software,software,0.77
13,Java,software,coffee,0.17
14,Java,coffee,coffee,0.35
15,Windows,software,software,0.73
16,Windows,software,framework,0.16
17,Windows,framework,framework,0.42
