,word,sense1,sense2,score
0,party,group,group,0.98
1,party,group,occasion,0.97
2,party,occasion,occasion,0.98
3,Agreement,contract,contract,0.98
4,Agreement,contract,understanding,0.98
5,Agreement,understanding,understanding,0.98
6,Company,organization,organization,0.97
7,Company,organization,companionship,0.97
8,Company,companionship,companionship,0.98
9,Product,goods,goods,0.98
10,Product,goods,consequence,0.97
11,Product,consequence,consequence,0.97
12,notice,announcement,announcement,0.97
13,notice,announcement,observing,0.97
14,notice,observing,observing,0.99
