,word,sense1,sense2,score
0,Server,host,host,0.98
1,Server,host,waiter,0.97
2,Server,waiter,waiter,0.98
3,Application,program,program,0.97
4,Application,program,request,0.97
5,Application,program,use,0.97
6,Application,request,request,0.98
7,Application,request,use,0.98
8,Application,use,use,0.98
9,following,reference,reference,0.99
10,following,reference,pursue,0.97
11,following,pursue,pursue,0.98
12,Java,software,software,0.99
13,Java,software,coffee,0.98
14,Java,coffee,coffee,0.98
15,Windows,software,software,0.99
16,Windows,software,framework,0.98
17,Windows,framework,framework,0.98
